Group,Transaction_Load,TPS_mean,TPS_std,TPS_min,TPS_max,Latency_ms_mean,Latency_ms_std,Latency_ms_min,Latency_ms_max,Success_Rate_mean,Success_Rate_std,Success_Rate_min,Success_Rate_max,Repeat_Selected,N,Experimental_Scenario,Key_Metrics,TPS_cv,Latency_ms_cv,Success_Rate_cv,Node_Count,Throughput_per_Node_mean,Throughput_per_Node_std,Throughput_per_Node_min,Throughput_per_Node_max,Propagation_Time_s_mean,Propagation_Time_s_std,Propagation_Time_s_min,Propagation_Time_s_max,Storage_Overhead_MB_mean,Storage_Overhead_MB_std,Storage_Overhead_MB_min,Storage_Overhead_MB_max,Throughput_per_Node_cv,Propagation_Time_s_cv,Storage_Overhead_MB_cv,Fault_Scenario,Downtime_s_mean,Downtime_s_std,Downtime_s_min,Downtime_s_max,Consensus_Recovery_s_mean,Consensus_Recovery_s_std,Consensus_Recovery_s_min,Consensus_Recovery_s_max,Fork_Rate_mean,Fork_Rate_std,Fork_Rate_min,Fork_Rate_max,Downtime_s_cv,Consensus_Recovery_s_cv,Fork_Rate_cv,Byzantine_Percentage,Fault_Tolerance_Score_mean,Fault_Tolerance_Score_std,Fault_Tolerance_Score_min,Fault_Tolerance_Score_max,Attack_Cost_mean,Attack_Cost_std,Attack_Cost_min,Attack_Cost_max,Double_Spend_Window_s_mean,Double_Spend_Window_s_std,Double_Spend_Window_s_min,Double_Spend_Window_s_max,Fault_Tolerance_Status,Fault_Tolerance_Score_cv,Attack_Cost_cv,Double_Spend_Window_s_cv,Contract_Complexity,Gas_Fee_mean,Gas_Fee_std,Gas_Fee_min,Gas_Fee_max,CPU_Usage_Percent_mean,CPU_Usage_Percent_std,CPU_Usage_Percent_min,CPU_Usage_Percent_max,RAM_Usage_Percent_mean,RAM_Usage_Percent_std,RAM_Usage_Percent_min,RAM_Usage_Percent_max,Bandwidth_MBps_mean,Bandwidth_MBps_std,Bandwidth_MBps_min,Bandwidth_MBps_max,Energy_Consumption_Wh_mean,Energy_Consumption_Wh_std,Energy_Consumption_Wh_min,Energy_Consumption_Wh_max,Gas_Fee_cv,CPU_Usage_Percent_cv,RAM_Usage_Percent_cv,Bandwidth_MBps_cv,Energy_Consumption_Wh_cv
Performance,100.0,468.62586309260826,21.243252342321313,441.72850122987023,488.6195617076234,198.74507740011904,10.066126172195446,190.672514984617,211.61625599081162,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.04533094311553883,0.05064843015925393,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,500.0,503.4866825433581,21.910468436354492,481.5519378938353,528.7736406586491,921.1450069229584,42.102969620683396,873.7695535799721,961.8764556100359,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.04351747364135626,0.045707211464269225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,1000.0,512.8961741748883,22.36578651631686,487.4701406265696,532.2143207956948,1801.3156856002636,78.9759658450845,1736.9307457743562,1896.1738534825854,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.04360684996782708,0.04384348977606713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,1500.0,516.957305152151,7.347360876174637,509.7979772534266,525.428810333879,2674.0551425342296,43.255216216587634,2620.4679559180126,2717.272757659705,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.01421270345335803,0.016175887897208516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,2000.0,506.8974056527219,23.516764990263507,473.90986396022305,533.4080673573944,3651.9020572465206,185.7205507033643,3452.339633447409,3924.922499575507,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.0463935398524706,0.050855841091038134,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,2500.0,515.1091648507712,11.226192475641323,501.23921370853,525.7638260038856,4469.741602406488,77.57160059807634,4397.918526839604,4570.55353197325,100.0,0.0,100.0,100.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.021793812344405843,0.01735482886892436,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,3000.0,500.4116708997984,19.03486757499764,473.3533913179096,516.1595445020112,5543.036133755437,229.40511122582163,5364.366834620402,5870.581689589637,55.260000000000005,24.828963821401096,20.533333333333335,76.56666666666668,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.03803841653167428,0.041386183616739014,0.4493116869598461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,3500.0,504.71943873701565,13.889466781495155,484.4113855660781,519.2920097335704,6408.349411136258,183.11975180148,6214.598015012502,6666.674601440417,0.0,0.0,0.0,0.0,5,5,Do truc tiep tren LocalNodeStorage voi tai giao dich tang dan; Success Rate duoc tinh theo SLA xac nhan 5600 ms.,TPS; Latency; Success Rate,0.027519183363041166,0.028575182165201447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,,,,,,,,,,,,,,5,5,"Mot leader mine block roi replicate qua 4, 8, 16, 32 node local; co them peer-delay emulation 3 ms/node.",Throughput per Node; Propagation Time; Storage Overhead,,,,4.0,31.986473848950947,1.3921565525262207,30.15517854806964,33.196365131290854,0.6055363999912515,0.029253574074610048,0.5762729999842122,0.6433647000230849,0.5387687683105469,0.0,0.5387687683105469,0.5387687683105469,0.043523289222199744,0.04831018263317067,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,,,,,,,,,,,,,,5,5,"Mot leader mine block roi replicate qua 4, 8, 16, 32 node local; co them peer-delay emulation 3 ms/node.",Throughput per Node; Propagation Time; Storage Overhead,,,,8.0,7.995507801170227,0.358229006538678,7.563503782815108,8.47895428582958,1.392036980006378,0.07155959381373266,1.3098266000160947,1.4826817999710329,1.0775375366210938,0.0,1.0775375366210938,1.0775375366210938,0.04480378425573513,0.05140638850945237,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
