Block,MD5,SHA-1,SHA-256,SHA-512,SHA3-256
1,0.00391370,0.00126440,0.00135040,0.00332730,0.00550130
2,0.00467280,0.00173740,0.00182410,0.00442360,0.00763520
3,0.01440940,0.00552810,0.00585950,0.01368700,0.02501730
4,0.00708650,0.00264040,0.00280860,0.00678650,0.01275460
5,0.00830290,0.00373920,0.00341760,0.01158980,0.02141850
6,0.01004230,0.00369620,0.00393230,0.01433280,0.02314140
7,0.01129220,0.00425620,0.00464250,0.01528230,0.02525450
8,0.01258070,0.00465170,0.00506160,0.01353200,0.02075810
9,0.00257620,0.00099060,0.00106310,0.00261340,0.00493370
10,0.00379760,0.00144170,0.00156930,0.00365870,0.00635130
11,0.00503620,0.00191840,0.00205930,0.00459640,0.00913620
12,0.00625780,0.00243110,0.00252050,0.00603980,0.01067940
13,0.00743600,0.00286720,0.00311280,0.00689530,0.01349430
14,0.00880060,0.00327710,0.00340520,0.00832050,0.01507680
15,0.00989860,0.00369740,0.00403410,0.00950480,0.01751870
16,0.01957180,0.00732860,0.00787860,0.02027580,0.03551820
17,0.01260670,0.00471840,0.00649910,0.01329610,0.02509750
18,0.00302320,0.00121380,0.00125870,0.00376190,0.00694240
19,0.00433850,0.00166530,0.00225510,0.00553540,0.01019700
20,0.00557780,0.00213520,0.00225970,0.00623180,0.01230630
21,0.00695970,0.00260080,0.00275720,0.00699740,0.01281320
22,0.00793170,0.00307320,0.00323690,0.00840040,0.01419540
23,0.01774020,0.00680370,0.00716840,0.01822470,0.03137550
24,0.01075900,0.00382630,0.00410700,0.01017790,0.01760970
25,0.01156810,0.00433700,0.00464610,0.01158700,0.02753810
26,0.00243430,0.00089450,0.00092770,0.00326410,0.00605840
27,0.00356420,0.00138390,0.00145680,0.00503910,0.00940170
28,0.00480990,0.00181250,0.00206140,0.00500220,0.00845700
29,0.00611140,0.00224020,0.00235840,0.00560010,0.01225020
30,0.00738380,0.00277070,0.00292020,0.00724490,0.01358760
31,0.00823100,0.00321740,0.00374320,0.00829150,0.01460090
32,0.00959680,0.00366120,0.00383450,0.00912790,0.01686830
33,0.01097320,0.00418660,0.00527200,0.01368970,0.02375060
34,0.01223470,0.00454090,0.00491570,0.01525980,0.02300820
35,0.00268810,0.00101660,0.00108720,0.00257020,0.00447500
36,0.00388290,0.00149930,0.00154200,0.00367920,0.00682650
37,0.00506530,0.00189790,0.00201510,0.00522340,0.00918000
38,0.00628750,0.00244300,0.00250470,0.00616190,0.01102780
39,0.00755630,0.00290220,0.00299650,0.00733960,0.01440760
40,0.00868070,0.00332440,0.00346700,0.00846010,0.01516390
41,0.01057120,0.00373220,0.00402050,0.00939260,0.01732830
42,0.01111700,0.00422660,0.00517140,0.01139650,0.02437890
43,0.02168600,0.00800040,0.00841420,0.02773220,0.05165930
44,0.00326370,0.00121230,0.00157730,0.00463380,0.00836690
45,0.00488650,0.00167130,0.00179420,0.00632070,0.00960210
46,0.00548100,0.00208600,0.00229820,0.00517180,0.01037940
47,0.00672470,0.00253940,0.00266860,0.00648440,0.01156430
48,0.00801780,0.00296770,0.00319760,0.00758740,0.01355050
49,0.01751560,0.00661850,0.00708180,0.01811660,0.03499760
50,0.01054480,0.00399340,0.00417250,0.01062010,0.01903340
